Actor_id,Actor_name,Actor_birthyear
1,Anne Hathaway,1982
2,Scarlett Johansson,1984
3,Freddie Highmore,1992
4,Emilia Clarke,1986
5,Chris Hemsworth,1983
6,Kit Harington,1986
7,Chris Evans,1981
8,Nicholas Gonzalez,1976
9,Helena Bonham Carter,1966
10,Robert Downey Jr,1965
11,Sophie Turner,1996
12,Mark Ruffalo,1967
13,John Depp,1963
14,Tom Hiddleston,1981
15,Samuel L. Jackson,1948
