Episode_id,Movie_id,Episode_name
1,6,Winter is coming
2,6,The Kingsroad
3,1,Burnt Food
4,1,Oliver
5,1,Pipes
6,6,Lord Snow
7,6,A Golden Crown
8,6,You Win or You Die
9,1,Not Fake
